regulator	target	category	evidence	source	regulator.association.disease	target.association.disease	is_regulator_in_disease	is_target_in_disease	target.reg	regulator.reg
CEBPA	CYP3A4	tf-gene	Experimental	Transfac	Leukemia, Myeloid, Acute, Carcinoma, Squamous Cell, Leukemia, Promyelocytic, Acute, Carcinoma, Hepatocellular, Head and Neck Neoplasms, Neoplasms, Radiation-Induced, Precancerous Conditions, Skin Neoplasms	Breast Neoplasms, Prostatic Neoplasms, Osteosarcoma, Hepatitis C, Torsades de Pointes	TRUE	FALSE	1	1
CEBPA	PSMD4	tf-gene	Experimental	PMID20584335	Leukemia, Myeloid, Acute, Carcinoma, Squamous Cell, Leukemia, Promyelocytic, Acute, Carcinoma, Hepatocellular, Head and Neck Neoplasms, Neoplasms, Radiation-Induced, Precancerous Conditions, Skin Neoplasms		TRUE	FALSE	1	1
CEBPA	CYP2A13	tf-gene	Experimental	PMID20584335	Leukemia, Myeloid, Acute, Carcinoma, Squamous Cell, Leukemia, Promyelocytic, Acute, Carcinoma, Hepatocellular, Head and Neck Neoplasms, Neoplasms, Radiation-Induced, Precancerous Conditions, Skin Neoplasms		TRUE	FALSE	1	1
CEBPA	S100A9	tf-gene	Experimental	Transfac	Leukemia, Myeloid, Acute, Carcinoma, Squamous Cell, Leukemia, Promyelocytic, Acute, Carcinoma, Hepatocellular, Head and Neck Neoplasms, Neoplasms, Radiation-Induced, Precancerous Conditions, Skin Neoplasms	Colonic Neoplasms, Keloid	TRUE	FALSE	1	1
CEBPA	FGA	tf-gene	Experimental	Transfac	Leukemia, Myeloid, Acute, Carcinoma, Squamous Cell, Leukemia, Promyelocytic, Acute, Carcinoma, Hepatocellular, Head and Neck Neoplasms, Neoplasms, Radiation-Induced, Precancerous Conditions, Skin Neoplasms	Amyloidosis, familial visceral, Pulmonary Embolism, Venous Thromboembolism, Afibrinogenemia, Afibrinogenemia congenital, Thrombosis, Amyloidosis, Familial, Cholestasis, Drug-Induced Liver Injury, Drug Toxicity, Kidney Diseases, Mouth Neoplasms, Osteoporosis, Thrombophilia	TRUE	FALSE	1	1
CEBPA	F9	tf-gene	Experimental	Transfac	Leukemia, Myeloid, Acute, Carcinoma, Squamous Cell, Leukemia, Promyelocytic, Acute, Carcinoma, Hepatocellular, Head and Neck Neoplasms, Neoplasms, Radiation-Induced, Precancerous Conditions, Skin Neoplasms	Hemophilia B, Thrombophilia, X-Linked, Due To Factor Ix Defect, Hemophilia A, Coumarin Resistance, Thrombosis	TRUE	FALSE	1	1
CEBPA	TF	tf-gene	Experimental	Transfac	Leukemia, Myeloid, Acute, Carcinoma, Squamous Cell, Leukemia, Promyelocytic, Acute, Carcinoma, Hepatocellular, Head and Neck Neoplasms, Neoplasms, Radiation-Induced, Precancerous Conditions, Skin Neoplasms	Congenital atransferrinemia, Hepatitis, Obesity, Alzheimer Disease, Adenocarcinoma of lung, Alcoholism, Anemia, hypochromic microcytic, Autistic Disorder, Carcinoma, Drug-Induced Liver Injury, Fatty Liver, Inflammation, Iron Overload, Mammary Neoplasms, Animal, Mammary Neoplasms, Experimental, Neoplasm Invasiveness, Nephrotic Syndrome, Paratuberculosis, Restless Legs Syndrome	TRUE	FALSE	1	1
CEBPA	APOB	tf-gene	Experimental	Transfac	Leukemia, Myeloid, Acute, Carcinoma, Squamous Cell, Leukemia, Promyelocytic, Acute, Carcinoma, Hepatocellular, Head and Neck Neoplasms, Neoplasms, Radiation-Induced, Precancerous Conditions, Skin Neoplasms	Hyperlipoproteinemia Type II, Hypercholesterolemia, Fatty Liver, APOLIPOPROTEIN B, Coronary Disease, Hyperlipidemias, Cardiovascular Diseases, Dyslipidemias, Hypobetalipoproteinemia, Familial, Apolipoprotein B, Peripheral Nervous System Diseases, Ataxia with vitamin E deficiency, Behcet Syndrome, Hypertriglyceridemia	TRUE	FALSE	1	1
CEBPA	SERPINE1	tf-gene	Experimental	Transfac	Leukemia, Myeloid, Acute, Carcinoma, Squamous Cell, Leukemia, Promyelocytic, Acute, Carcinoma, Hepatocellular, Head and Neck Neoplasms, Neoplasms, Radiation-Induced, Precancerous Conditions, Skin Neoplasms	Diabetic Nephropathies, Pre-Eclampsia, Thrombosis, Atherosclerosis, Kidney Failure, Chronic, Stomach Neoplasms, Fatty Liver, Prostatic Neoplasms, Liver Neoplasms, Autistic Disorder, Behcet Syndrome, Glomerulosclerosis, Focal Segmental, Nephrotic Syndrome, Cholestasis, Diabetes Mellitus, Experimental, Nervous System Diseases, Plasminogen Activator Inhibitor-1 Deficiency	TRUE	FALSE	1	1
CEBPA	ADIPOQ	tf-gene	Experimental	Transfac	Leukemia, Myeloid, Acute, Carcinoma, Squamous Cell, Leukemia, Promyelocytic, Acute, Carcinoma, Hepatocellular, Head and Neck Neoplasms, Neoplasms, Radiation-Induced, Precancerous Conditions, Skin Neoplasms	Diabetes Mellitus, Type 2, Obesity, Insulin Resistance, Arthritis, Experimental, Non-alcoholic Fatty Liver Disease, Metabolic Syndrome X, Atherosclerosis, Diabetes, Gestational, Hypertension, Inflammation, Diabetes Mellitus, Arthritis, Rheumatoid, Hyperemia, Myocardial Ischemia, ADIPONECTIN, SERUM LEVEL OF, QUANTITATIVE TRAIT LOCUS 1, ADIPONECTIN, SERUM LEVEL OF, QUANTITATIVE TRAIT LOCUS 2, ADIPONECTIN, SERUM LEVEL OF, QUANTITATIVE TRAIT LOCUS 3, Coronary Restenosis, Crohn Disease, Drug-Induced Liver Injury, Heart Failure, Heroin Dependence, Liver Cirrhosis, Experimental, Myocardial Reperfusion Injury, Weight Gain, Weight Loss	TRUE	FALSE	1	1
CEBPA	PTGS2	tf-gene	Experimental	Transfac	Leukemia, Myeloid, Acute, Carcinoma, Squamous Cell, Leukemia, Promyelocytic, Acute, Carcinoma, Hepatocellular, Head and Neck Neoplasms, Neoplasms, Radiation-Induced, Precancerous Conditions, Skin Neoplasms	Adenocarcinoma, Neoplasm Metastasis, Lung Neoplasms, Colonic Neoplasms, Carcinoma, Hepatocellular, Inflammation, Barrett Esophagus, Esophageal Neoplasms, Carcinoma, Renal Cell, Stomach Ulcer, Hypertension, Mouth Neoplasms, Fibrosis, Hyperalgesia, Seizures, Brain Injuries, Brain Ischemia, Diabetes Mellitus, Experimental, Reperfusion Injury, Status Epilepticus, Carcinoma, Carcinoma, Squamous Cell, Neoplasms, Colorectal Neoplasms, Breast Neoplasms, Stomach Neoplasms, Prostatic Neoplasms, Atherosclerosis, Melanoma, Pancreatic Neoplasms, Arthritis, Rheumatoid, Cholangiocarcinoma, Glioma, Cardiovascular Diseases, Adenomatous Polyposis Coli, Coronary Artery Disease, Inflammatory Bowel Diseases, Precancerous Conditions, Carcinoma, squamous cell of head and neck, Esophageal Squamous Cell Carcinoma, Autistic Disorder, Hyperglycemia, Thyroid Neoplasms, Stroke, Urinary Bladder Neoplasms, Adenocarcinoma Of Esophagus, Kidney Failure, Chronic, Leukemia, Lymphocytic, Chronic, B-Cell, Lung Diseases, Skin Neoplasms, Hyperplasia, Papilloma, Thrombosis, Colitis, Depressive Disorder, Diabetes Mellitus, Amyotrophic Lateral Sclerosis, Carcinoma, Transitional Cell, Gastroesophageal Reflux, Leukoplakia, Oral, Carcinoma in Situ, Intestinal Polyps, Lymphoma, B-Cell, Obesity, Aortic Aneurysm, Abdominal, Kidney Diseases, Lupus Erythematosus, Systemic, Oral Submucous Fibrosis, Heart Failure, Kidney Neoplasms, Leiomyosarcoma, Pancreatitis, Tongue Neoplasms, Albuminuria, Arrhythmias, Cardiac, Asphyxia Neonatorum, Asthma, Aspirin-Induced, Bone Neoplasms, Burns, Cachexia, Cardiomyopathies, Cognition Disorders, Drug-Induced Liver Injury, Drug Toxicity, Duodenal Ulcer, Edema, Glaucoma, Open-Angle, Hydronephrosis, Hyperemia, Liver Cirrhosis, Experimental, Mouth Diseases, Neoplasm Recurrence, Local, Nervous System Diseases, Neurogenic Inflammation, Pericardial Effusion, Proteinuria, Puberty, Precocious, Skin Diseases, Urinary Bladder Neck Obstruction	TRUE	TRUE	1	1
CEBPA	LTF	tf-gene	Experimental	Transfac	Leukemia, Myeloid, Acute, Carcinoma, Squamous Cell, Leukemia, Promyelocytic, Acute, Carcinoma, Hepatocellular, Head and Neck Neoplasms, Neoplasms, Radiation-Induced, Precancerous Conditions, Skin Neoplasms	Diarrhea, Endometriosis, Inflammation, Osteoporosis, Candidiasis, Oral, Candidiasis, Vulvovaginal, Carbon Tetrachloride Poisoning, Colitis, Ulcerative, Colonic Neoplasms, Drug-Induced Liver Injury, Enterocolitis, Necrotizing, Gastrointestinal Hemorrhage, Hypotension, Joint Diseases, Liver Neoplasms, Neoplasms, Premature Birth, Wounds and Injuries	TRUE	FALSE	1	1
CEBPA	PPARG	tf-gene	Experimental	Transfac	Leukemia, Myeloid, Acute, Carcinoma, Squamous Cell, Leukemia, Promyelocytic, Acute, Carcinoma, Hepatocellular, Head and Neck Neoplasms, Neoplasms, Radiation-Induced, Precancerous Conditions, Skin Neoplasms	Obesity, LIPODYSTROPHY, FAMILIAL PARTIAL, TYPE 3, Diabetes Mellitus, Type 2, Hypertension, Inflammation, Reperfusion Injury, Diabetes Mellitus, Experimental, Atherosclerosis, Diabetes Mellitus, Alzheimer Disease, Colonic Neoplasms, Insulin Resistance, Thyroid Neoplasms, Colorectal Neoplasms, Pancreatic Neoplasms, Dyslipidemias, Melanoma, Lipodystrophy, Familial Partial, Adenocarcinoma, Crohn Disease, Stomach Neoplasms, Metabolic Diseases, Psoriasis, Ischemia, Carcinoma, Hepatocellular, Osteoarthritis, Liver Neoplasms, Glioma, Leukostasis, LIPODYSTROPHY, FAMILIAL PARTIAL, TYPE 2, Polycystic Kidney, Autosomal Dominant, Acute Kidney Injury, Acute Lung Injury, Barrett Esophagus, Carotid Intimal Medial Thickness 1, Chronobiology Disorders, Glomerulonephritis, Lipidoses, Lymphoma, T-Cell, Nerve Degeneration, Pituitary ACTH Hypersecretion, Thyroid cancer, follicular	TRUE	TRUE	1	1
CEBPA	CETP	tf-gene	Experimental	Transfac	Leukemia, Myeloid, Acute, Carcinoma, Squamous Cell, Leukemia, Promyelocytic, Acute, Carcinoma, Hepatocellular, Head and Neck Neoplasms, Neoplasms, Radiation-Induced, Precancerous Conditions, Skin Neoplasms	HYPERALPHALIPOPROTEINEMIA 1, Cardiovascular Diseases, Hyperlipoproteinemia Type II, Hyperlipoproteinemias, Dyslipidemias, Hyperlipidemias, Hypertriglyceridemia, Peripheral Nervous System Diseases	TRUE	FALSE	1	1
